neighbourhood_cleansed,number_of_listings,average_price,minimum_price,maximum_price,average_availability_365,average_review_score,high_price_listing_share
ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,2887,124.32,14.0,395.0,268.55,4.76,44.75
ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,1308,116.12,19.0,390.0,269.01,4.81,36.93
ΝΕΟΣ ΚΟΣΜΟΣ,1088,86.15,20.0,398.0,256.84,4.8,18.38
ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,1013,85.55,13.0,379.0,249.98,4.77,16.68
ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,886,65.78,18.0,336.0,252.06,4.71,7.11
ΠΑΓΚΡΑΤΙ,585,78.77,22.0,363.0,255.27,4.79,14.19
ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,522,60.21,15.0,352.0,239.68,4.67,4.79
ΚΟΛΩΝΑΚΙ,468,125.86,28.0,382.0,269.45,4.76,44.02
ΑΚΡΟΠΟΛΗ,438,123.48,14.0,398.0,251.25,4.81,43.61
ΘΗΣΕΙΟ,432,110.49,34.0,364.0,268.0,4.81,34.72
ΑΜΠΕΛΟΚΗΠΟΙ,431,69.16,26.0,245.0,255.11,4.79,8.82
ΠΕΤΡΑΛΩΝΑ,425,79.92,23.0,367.0,257.08,4.82,12.0
ΚΕΡΑΜΕΙΚΟΣ,402,102.45,23.0,370.0,271.41,4.75,32.84
ΚΥΨΕΛΗ,272,63.55,10.0,264.0,237.0,4.76,11.76
ΓΟΥΔΙ,258,76.57,26.0,365.0,264.78,4.75,12.79
ΣΤΑΔΙΟ,233,90.83,32.0,304.0,244.18,4.83,21.03
ΙΛΙΣΙΑ,211,94.35,20.0,350.0,260.3,4.84,24.17
ΖΑΠΠΕΙΟ,183,135.85,25.0,393.0,285.22,4.82,45.36
ΛΥΚΑΒΗΤΤΟΣ,180,97.48,35.0,287.0,247.38,4.78,30.0
ΠΛΑΤΕΙΑ ΑΜΕΡΙΚΗΣ,162,58.2,20.0,317.0,262.43,4.64,3.7
ΝΙΡΒΑΝΑ,156,53.12,9.0,155.0,258.35,4.71,4.49
ΠΑΤΗΣΙΑ,155,49.64,18.0,184.0,263.06,4.72,2.58
ΚΟΛΩΝΟΣ,129,65.4,20.0,374.0,249.28,4.78,6.2
ΑΝΩ ΚΥΨΕΛΗ,128,50.69,15.0,185.0,254.13,4.7,3.91
ΒΟΤΑΝΙΚΟΣ,118,82.13,28.0,348.0,256.64,4.82,13.56
ΓΚΑΖΙ,108,105.63,36.0,341.0,265.19,4.82,29.63
ΓΚΥΖΗ,105,55.12,12.0,179.0,258.9,4.81,3.81
ΑΚΑΔΗΜΙΑ ΠΛΑΤΩΝΟΣ,102,68.58,26.0,281.0,241.97,4.78,8.82
ΠΕΔΙΟ ΑΡΕΩΣ,94,78.32,15.0,324.0,249.98,4.72,22.34
ΓΟΥΒΑ,93,79.42,30.0,245.0,260.58,4.82,10.75
ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ,78,53.05,18.0,129.0,254.83,4.66,1.28
ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ,74,65.32,28.0,298.0,246.69,4.69,9.46
ΑΝΩ ΠΑΤΗΣΙΑ,63,58.9,30.0,135.0,210.81,4.76,7.94
ΕΛΛΗΝΟΡΩΣΩΝ,62,58.35,18.0,146.0,270.32,4.75,1.61
ΣΕΠΟΛΙΑ,57,62.0,15.0,348.0,252.25,4.85,1.75
ΝΕΑ ΚΥΨΕΛΗ,51,55.35,21.0,152.0,232.69,4.79,3.92
1Ο ΝΕΚΡΟΤΑΦΕΙΟ,39,92.26,22.0,250.0,250.08,4.81,28.21
ΑΓΙΟΣ ΕΛΕΥΘΕΡΙΟΣ,34,42.88,18.0,82.0,256.53,4.54,0.0
ΠΟΛΥΓΩΝΟ,20,54.5,27.0,101.0,300.85,4.91,0.0
ΚΟΛΟΚΥΝΘΟΥ,14,48.43,31.0,81.0,281.29,4.87,0.0
ΡΙΖΟΥΠΟΛΗ,12,46.17,31.0,76.0,283.5,4.55,0.0
ΠΡΟΜΠΟΝΑ,8,48.13,31.0,70.0,277.88,4.83,0.0
ΡΗΓΙΛΛΗΣ,5,125.4,81.0,235.0,244.6,4.26,20.0
ΠΕΝΤΑΓΩΝΟ,2,41.5,38.0,45.0,238.0,4.74,0.0
