accommodates,number_of_listings,average_price,minimum_price,maximum_price,average_bedrooms,average_bathrooms,high_price_listing_share
1,199,37.82,10.0,378.0,1.02,1.27,3.52
2,4533,77.97,15.0,390.0,0.9,1.04,15.84
3,1903,79.87,18.0,390.0,1.0,1.04,14.82
4,4443,95.04,9.0,388.0,1.36,1.13,24.98
5,1027,106.91,15.0,364.0,1.9,1.25,33.01
6,1319,131.08,24.0,398.0,2.22,1.5,47.31
7,191,144.85,43.0,398.0,2.52,1.7,57.07
8,252,171.22,20.0,395.0,3.04,2.02,69.44
9,53,204.02,56.0,377.0,3.06,1.95,83.02
10,62,180.95,33.0,382.0,3.56,2.13,75.81
11,20,191.85,89.0,317.0,3.95,2.3,85.0
12,28,195.93,28.0,335.0,3.64,2.2,82.14
13,12,208.67,66.0,363.0,3.67,2.46,66.67
14,9,282.89,149.0,360.0,4.89,3.44,100.0
15,15,206.8,61.0,361.0,4.33,2.4,60.0
16,25,201.96,80.0,360.0,4.72,2.94,60.0
