neighbourhood_cleansed,number_of_listings,median_price,mean_price,high_price_share
ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,2887,107.0,124.32282646345688,0.44752338067197783
ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,1308,96.0,116.11620795107034,0.36926605504587157
ΝΕΟΣ ΚΟΣΜΟΣ,1088,70.0,86.14889705882354,0.18382352941176472
ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,1013,71.0,85.54590325765054,0.16683119447186576
ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,886,55.0,65.77539503386005,0.07110609480812641
ΠΑΓΚΡΑΤΙ,585,68.0,78.76752136752137,0.14188034188034188
ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,522,52.0,60.2088122605364,0.04789272030651341
ΚΟΛΩΝΑΚΙ,468,101.5,125.86324786324786,0.44017094017094016
ΑΚΡΟΠΟΛΗ,438,104.5,123.48401826484019,0.4360730593607306
ΘΗΣΕΙΟ,432,91.0,110.48842592592592,0.3472222222222222
ΑΜΠΕΛΟΚΗΠΟΙ,431,60.0,69.15545243619489,0.08816705336426914
ΠΕΤΡΑΛΩΝΑ,425,73.0,79.92,0.12
ΚΕΡΑΜΕΙΚΟΣ,402,82.0,102.45273631840796,0.3283582089552239
ΚΥΨΕΛΗ,272,52.0,63.54779411764706,0.11764705882352941
ΓΟΥΔΙ,258,68.0,76.57364341085271,0.12790697674418605
ΣΤΑΔΙΟ,233,73.0,90.8283261802575,0.21030042918454936
ΙΛΙΣΙΑ,211,80.0,94.35071090047393,0.24170616113744076
ΖΑΠΠΕΙΟ,183,105.0,135.85245901639345,0.453551912568306
ΛΥΚΑΒΗΤΤΟΣ,180,82.0,97.48333333333333,0.3
ΠΛΑΤΕΙΑ ΑΜΕΡΙΚΗΣ,162,48.0,58.19753086419753,0.037037037037037035
ΝΙΡΒΑΝΑ,156,45.0,53.11538461538461,0.04487179487179487
ΠΑΤΗΣΙΑ,155,46.0,49.63870967741936,0.025806451612903226
ΚΟΛΩΝΟΣ,129,54.0,65.3953488372093,0.06201550387596899
ΑΝΩ ΚΥΨΕΛΗ,128,45.0,50.6875,0.0390625
ΒΟΤΑΝΙΚΟΣ,118,71.0,82.12711864406779,0.13559322033898305
ΓΚΑΖΙ,108,84.0,105.62962962962963,0.2962962962962963
ΓΚΥΖΗ,105,52.0,55.12380952380953,0.0380952380952381
ΑΚΑΔΗΜΙΑ ΠΛΑΤΩΝΟΣ,102,57.0,68.57843137254902,0.08823529411764706
ΠΕΔΙΟ ΑΡΕΩΣ,94,61.5,78.31914893617021,0.22340425531914893
ΓΟΥΒΑ,93,72.0,79.41935483870968,0.10752688172043011
ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ,78,47.5,53.05128205128205,0.01282051282051282
ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ,74,49.5,65.32432432432432,0.0945945945945946
ΑΝΩ ΠΑΤΗΣΙΑ,63,51.0,58.904761904761905,0.07936507936507936
ΕΛΛΗΝΟΡΩΣΩΝ,62,57.0,58.354838709677416,0.016129032258064516
ΣΕΠΟΛΙΑ,57,53.0,62.0,0.017543859649122806
ΝΕΑ ΚΥΨΕΛΗ,51,48.0,55.35294117647059,0.0392156862745098
1Ο ΝΕΚΡΟΤΑΦΕΙΟ,39,64.0,92.25641025641026,0.28205128205128205
ΑΓΙΟΣ ΕΛΕΥΘΕΡΙΟΣ,34,42.5,42.88235294117647,0.0
ΠΟΛΥΓΩΝΟ,20,49.0,54.5,0.0
ΚΟΛΟΚΥΝΘΟΥ,14,44.5,48.42857142857143,0.0
ΡΙΖΟΥΠΟΛΗ,12,38.5,46.166666666666664,0.0
ΠΡΟΜΠΟΝΑ,8,46.5,48.125,0.0
ΡΗΓΙΛΛΗΣ,5,100.0,125.4,0.2
ΠΕΝΤΑΓΩΝΟ,2,41.5,41.5,0.0
